feature,PSI,severity
month_cos,5.8116,SIGNIFICANT
arr_month,5.8116,SIGNIFICANT
month_sin,0.3648,SIGNIFICANT
dep_hr_congestion,0.0864,OK
n_candidates,0.0623,OK
n_competitors_dep,0.0339,OK
arr_hour_sin,0.0212,OK
dep_hour_sin,0.0158,OK
dep_hour_cos,0.0152,OK
dow_sin,0.0152,OK
dow_cos,0.0138,OK
al_tt_mean,0.0125,OK
cx_tt_mean,0.0125,OK
al_tt_q75,0.0101,OK
arr_hour,0.0098,OK
arr_dow,0.0097,OK
al_tt_med,0.0076,OK
arr_hour_cos,0.0074,OK
dep_hour,0.0057,OK
al_tt_std,0.0057,OK
al_tod_tt_med,0.0052,OK
arr_origin_dest_fenc,0.0045,OK
dep_origin_dest_fenc,0.0042,OK
tt_vs_cx_med,0.0042,OK
tt_vs_al_med,0.0042,OK
tt_abs_vs_cx_med,0.0041,OK
tt_abs_vs_al_med,0.0041,OK
arr_tod,0.0035,OK
margin_over_min_tt,0.0031,OK
turnaround_min,0.003,OK
turnaround_log,0.003,OK
tt_vs_ac_med,0.003,OK
tt_vs_al_mean,0.003,OK
cx_tt_med,0.0029,OK
tt_vs_dow_med,0.0029,OK
route_pair_freq,0.0028,OK
route_pair_log_freq,0.0028,OK
ac_tt_med,0.0026,OK
al_dow_tt_med,0.0024,OK
tt_z_score,0.0021,OK
tt_vs_tod_med,0.0018,OK
arr_airline_fenc,0.0016,OK
al_daily_avg,0.0016,OK
tt_rank,0.0014,OK
al_tt_q25,0.0008,OK
tt_rank_pct,0.0005,OK
ac_tt_std,0.0001,OK
ac_tt_mean,0.0001,OK
tt_in_iqr,0.0,OK
ac_min_tt,0.0,OK
is_closest,0.0,OK
same_origin_dest,0.0,OK
same_pax_cargo,0.0,OK
is_overnight,0.0,OK
is_weekend,0.0,OK
arr_aircraft_type_fenc,0.0,OK
